Layer 0,Layer 1,Layer 2,Layer 3,Layer 4
Abstract,,,,,
Attribute,,,,,
Continuant,,,,,
Entity,,,,,
Object,,,,,
Occurrent,,,,,
Physical,,,,,
Process,,,,,
Relation,,,,,
Object,Artifact,Device,AnimalController,,
Process,IntentionalProcess,Guiding,AnimalGuiding,,
Object,Artifact,Device,AnimalPoweredDevice,,
Object,Artifact,Product,AnimalProduct,,
Process,CognitiveProcess,EstimationProcess,AnomalyDetectionProcess,,
Entity,AbstractEntity,ProbabilisticEntity,AnomalyScore,,
Attribute,RelationalAttribute,PositionalAttribute,AntiSymmetricPositionalAttribute,,
Process,IntentionalProcess,IntentionalPsychologicalProcess,AppraisalProcess,,
Abstract,Proposition,FieldOfStudy,Archeology,,
Entity,Game,Sport,Archery,,
Object,Region,GeographicArea,ArchipelagicArea,,
Abstract,Proposition,FieldOfStudy,Architecture,,
Attribute,PhysicalQuantity,FunctionQuantity,AreaMeasure,,
Process,Motion,Translocation,Arriving,,
Process,IntentionalProcess,ContentDevelopment,ArtPainting,,
Object,Artifact,Text,Article,,
Attribute,RelationalAttribute,LegalAgent,ArtificialPerson,,
Relation,InheritableRelation,BinaryFunction,AssociativeFunction,,
Process,CognitiveProcess,InfluenceProcess,AstroturfingCampaign,,
Relation,BinaryRelation,IrreflexiveRelation,AsymmetricRelation,,
